Date,klang_genting_sempah,klang_empangan_batu,klang_empangan_klang_gates,klang_gombak_simpang_3,klang_kg_sg_tua_empangan_batu,klang_lembah_jaya,klang_pandan_indah,klang_jps_ampang,klang_jps_wilayah,klang_kg_berembang_smart,klang_kolam_takungan_batu,klang_ladang_edinburgh,klang_sg_bunus_di_jln_tun_razak,klang_sg_kerayong_di_kg_cheras_baru,klang_sg_klang_di_jambatan_petaling,klang_sg_klang_di_kg_berembang,klang_sg_klang_di_leboh_pasar,klang_sg_klang_di_lembah_keramat,klang_taman_ehsan
2015-07-08,,,,,,,,,,,,,,,,,,,
2015-07-09,,,,,,,,,,,,,,,,,,,
2015-07-10,,,,,,,,,,,,,,,,,,,
2015-07-11,,,,,,,,,,,,,,,,,,,
2015-07-12,,,,,,,,,,,,,,,,,,,
2015-07-13,,,,,,,,,,,,,,,,,,,
2015-07-14,,,,,,,,,,,,,,,,,,,
2015-07-15,,,,,,,,,,,,,,,,,,,
2015-07-16,,,,,,,,,,,,,,,,,,,
2015-07-17,,,,,,,,,,,,,,,,,,,
2015-07-18,,,,,,,,,,,,,,,,,,,
2015-07-19,,,,,,,,,,,,,,,,,,,
2015-07-20,,,,,,,,,,,,,,,,,,,
2015-07-21,,,,,,,,,,,,,,,,,,,
2015-07-22,,,,,,,,,,,,,,,,,,,
2015-07-23,,,,,,,,,,,,,,,,,,,
2015-07-24,,,,,,,,,,,,,,,,,,,
2015-07-25,,,,,,,,,,,,,,,,,,,
2015-07-26,,,,,,,,,,,,,,,,,,,
2015-07-27,,,,,,,,,,,,,,,,,,,
2015-07-28,,,,,,,,,,,,,,,,,,,
2015-07-29,,,,,,,,,,,,,,,,,,,
2015-07-30,,,,,,,,,,,,,,,,,,,
2015-07-31,,,,,,,,,,,,,,,,,,,
2015-08-01,,,,,,,,,,,,,,,,,,,
2015-08-02,,,,,,,,,,,,,,,,,,,
2015-08-03,,,,,,,,,,,,,,,,,,,
2015-08-04,,,,,,,,,,,,,,,,,,,
2015-08-05,,,,,,,,,,,,,,,,,,,
2015-08-06,,,,,,,,,,,,,,,,,,,
2015-08-07,,,,,,,,,,,,,,,,,,,
2015-08-08,,,,,,,,,,,,,,,,,,,
2015-08-09,,,,,,,,,,,,,,,,,,,
2015-08-10,,,,,,,,,,,,,,,,,,,
2015-08-11,,,,,,,,,,,,,,,,,,,
2015-08-12,,,,,,,,,,,,,,,,,,,
2015-08-13,,,,,,,,,,,,,,,,,,,
2015-08-14,,,,,,,,,,,,,,,,,,,
2015-08-15,,,,,,,,,,,,,,,,,,,
2015-08-16,,,,,,,,,,,,,,,,,,,
2015-08-17,,,,,,,,,,,,,,,,,,,
2015-08-18,,,,,,,,,,,,,,,,,,,
2015-08-19,,,,,,,,,,,,,,,,,,,
2015-08-20,,,,,,,,,,,,,,,,,,,
2015-08-21,,,,,,,,,,,,,,,,,,,
2015-08-22,,,,,,,,,,,,,,,,,,,
2015-08-23,,,,,,,,,,,,,,,,,,,
2015-08-24,,,,,,,,,,,,,,,,,,,
2015-08-25,,,,,,,,,,,,,,,,,,,
2015-08-26,,,,,,,,,,,,,,,,,,,
2015-08-27,,,,,,,,,,,,,,,,,,,
2015-08-28,,,,,,,,,,,,,,,,,,,
2015-08-29,,,,,,,,,,,,,,,,,,,
2015-08-30,,,,,,,,,,,,,,,,,,,
2015-08-31,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,,,,,,,,,,,,,,,
2015-09-02,,,,,,,,,,,,,,,,,,,
2015-09-03,,,,,,,,,,,,,,,,,,,
2015-09-04,,,,,,,,,,,,,,,,,,,
2015-09-05,,,,,,,,,,,,,,,,,,,
2015-09-06,,,,,,,,,,,,,,,,,,,
2015-09-07,,,,,,,,,,,,,,,,,,,
2015-09-08,,,,,,,,,,,,,,,,,,,
2015-09-09,,,,,,,,,,,,,,,,,,,
2015-09-10,,,,,,,,,,,,,,,,,,,
2015-09-11,,,,,,,,,,,,,,,,,,,
2015-09-12,,,,,,,,,,,,,,,,,,,
2015-09-13,,,,,,,,,,,,,,,,,,,
2015-09-14,,,,,,,,,,,,,,,,,,,
2015-09-15,,,,,,,,,,,,,,,,,,,
2015-09-16,,,,,,,,,,,,,,,,,,,
2015-09-17,,,,,,,,,,,,,,,,,,,
2015-09-18,,,,,,,,,,,,,,,,,,,
2015-09-19,,,,,,,,,,,,,,,,,,,
2015-09-20,,,,,,,,,,,,,,,,,,,
2015-09-21,,,,,,,,,,,,,,,,,,,
2015-09-22,,,,,,,,,,,,,,,,,,,
2015-09-23,,,,,,,,,,,,,,,,,,,
2015-09-24,,,,,,,,,,,,,,,,,,,
2015-09-25,,,,,,,,,,,,,,,,,,,
2015-09-26,,,,,,,,,,,,,,,,,,,
2015-09-27,,,,,,,,,,,,,,,,,,,
2015-09-28,,,,,,,,,,,,,,,,,,,
2015-09-29,,,,,,,,,,,,,,,,,,,
2015-09-30,,,,,,,,,,,,,,,,,,,
2015-10-01,,,,,,,,,,,,,,,,,,,
2015-10-02,,,,,,,,,,,,,,,,,,,
2015-10-03,,,,,,,,,,,,,,,,,,,
2015-10-04,,,,,,,,,,,,,,,,,,,
2015-10-05,,,,,,,,,,,,,,,,,,,
2015-10-06,,,,,,,,,,,,,,,,,,,
2015-10-07,,,,,,,,,,,,,,,,,,,
2015-10-08,,,,,,,,,,,,,,,,,,,
2015-10-09,,,,,,,,,,,,,,,,,,,
2015-10-10,,,,,,,,,,,,,,,,,,,
2015-10-11,,,,,,,,,,,,,,,,,,,
2015-10-12,,,,,,,,,,,,,,,,,,,
2015-10-13,,,,,,,,,,,,,,,,,,,
2015-10-14,,,,,,,,,,,,,,,,,,,
2015-10-15,,,,,,,,,,,,,,,,,,,
2015-10-16,,,,,,,,,,,,,,,,,,,
2015-10-17,,,,,,,,,,,,,,,,,,,
2015-10-18,,,,,,,,,,,,,,,,,,,
2015-10-19,,,,,,,,,,,,,,,,,,,
2015-10-20,,,,,,,,,,,,,,,,,,,
2015-10-21,,,,,,,,,,,,,,,,,,,
2015-10-22,,,,,,,,,,,,,,,,,,,
2015-10-23,,,,,,,,,,,,,,,,,,,
2015-10-24,,,,,,,,,,,,,,,,,,,
2015-10-25,,,,,,,,,,,,,,,,,,,
2015-10-26,,,,,,,,,,,,,,,,,,,
2015-10-27,,,,,,,,,,,,,,,,,,,
2015-10-28,,,,,,,,,,,,,,,,,,,
2015-10-29,,,,,,,,,,,,,,,,,,,
2015-10-30,,,,,,,,,,,,,,,,,,,
2015-10-31,,,,,,,,,,,,,,,,,,,
2015-11-01,,,,,,,,,,,,,,,,,,,
2015-11-02,,,,,,,,,,,,,,,,,,,
2015-11-03,,,,,,,,,,,,,,,,,,,
2015-11-04,,,,,,,,,,,,,,,,,,,
2015-11-05,,,,,,,,,,,,,,,,,,,
2015-11-06,,,,,,,,,,,,,,,,,,,
2015-11-07,,,,,,,,,,,,,,,,,,,
2015-11-08,,,,,,,,,,,,,,,,,,,
2015-11-09,,,,,,,,,,,,,,,,,,,
2015-11-10,,,,,,,,,,,,,,,,,,,
2015-11-11,,,,,,,,,,,,,,,,,,,
2015-11-12,,,,,,,,,,,,,,,,,,,
2015-11-13,,,,,,,,,,,,,,,,,,,
2015-11-14,,,,,,,,,,,,,,,,,,,
2015-11-15,,,,,,,,,,,,,,,,,,,
2015-11-16,,,,,,,,,,,,,,,,,,,
2015-11-17,,,,,,,,,,,,,,,,,,,
2015-11-18,,,,,,,,,,,,,,,,,,,
2015-11-19,,,,,,,,,,,,,,,,,,,
2015-11-20,,,,,,,,,,,,,,,,,,,
2015-11-21,,,,,,,,,,,,,,,,,,,
2015-11-22,,,,,,,,,,,,,,,,,,,
2015-11-23,,,,,,,,,,,,,,,,,,,
2015-11-24,,,,,,,,,,,,,,,,,,,
2015-11-25,,,,,,,,,,,,,,,,,,,
2015-11-26,,,,,,,,,,,,,,,,,,,
2015-11-27,,,,,,,,,,,,,,,,,,,
2015-11-28,,,,,,,,,,,,,,,,,,,
2015-11-29,,,,,,,,,,,,,,,,,,,
2015-11-30,,,,,,,,,,,,,,,,,,,
2015-12-01,,,,,,,,,,,,,,,,,,,
2015-12-02,,,,,,,,,,,,,,,,,,,
2015-12-03,,,,,,,,,,,,,,,,,,,
2015-12-04,,,,,,,,,,,,,,,,,,,
2015-12-05,,,,,,,,,,,,,,,,,,,
2015-12-06,,,,,,,,,,,,,,,,,,,
2015-12-07,,,,,,,,,,,,,,,,,,,
2015-12-08,,,,,,,,,,,,,,,,,,,
2015-12-09,,,,,,,,,,,,,,,,,,,
2015-12-10,,,,,,,,,,,,,,,,,,,
2015-12-11,,,,,,,,,,,,,,,,,,,
2015-12-12,,,,,,,,,,,,,,,,,,,
2015-12-13,,,,,,,,,,,,,,,,,,,
2015-12-14,,,,,,,,,,,,,,,,,,,
2015-12-15,,,,,,,,,,,,,,,,,,,
2015-12-16,,,,,,,,,,,,,,,,,,,
2015-12-17,,,,,,,,,,,,,,,,,,,
2015-12-18,,,,,,,,,,,,,,,,,,,
2015-12-19,,,,,,,,,,,,,,,,,,,
2015-12-20,,,,,,,,,,,,,,,,,,,
2015-12-21,,,,,,,,,,,,,,,,,,,
2015-12-22,,,,,,,,,,,,,,,,,,,
2015-12-23,,,,,,,,,,,,,,,,,,,
2015-12-24,,,,,,,,,,,,,,,,,,,
2015-12-25,,,,,,,,,,,,,,,,,,,
2015-12-26,,,,,,,,,,,,,,,,,,,
2015-12-27,,,,,,,,,,,,,,,,,,,
2015-12-28,,,,,,,,,,,,,,,,,,,
2015-12-29,,,,,,,,,,,,,,,,,,,
2015-12-30,,,,,,,,,,,,,,,,,,,
2015-12-31,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,
2016-01-02,,,,,,,,,,,,,,,,,,,
2016-01-03,,,,,,,,,,,,,,,,,,,
2016-01-04,,,,,,,,,,,,,,,,,,,
2016-01-05,,,,,,,,,,,,,,,,,,,
2016-01-06,,,,,,,,,,,,,,,,,,,
2016-01-07,,,,,,,,,,,,,,,,,,,
2016-01-08,,,,,,,,,,,,,,,,,,,
2016-01-09,,,,,,,,,,,,,,,,,,,
2016-01-10,,,,,,,,,,,,,,,,,,,
2016-01-11,,,,,,,,,,,,,,,,,,,
2016-01-12,,,,,,,,,,,,,,,,,,,
2016-01-13,,,,,,,,,,,,,,,,,,,
2016-01-14,,,,,,,,,,,,,,,,,,,
2016-01-15,,,,,,,,,,,,,,,,,,,
2016-01-16,,,,,,,,,,,,,,,,,,,
2016-01-17,,,,,,,,,,,,,,,,,,,
2016-01-18,,,,,,,,,,,,,,,,,,,
2016-01-19,,,,,,,,,,,,,,,,,,,
2016-01-20,,,,,,,,,,,,,,,,,,,
2016-01-21,,,,,,,,,,,,,,,,,,,
2016-01-22,,,,,,,,,,,,,,,,,,,
2016-01-23,,,,,,,,,,,,,,,,,,,
2016-01-24,,,,,,,,,,,,,,,,,,,
2016-01-25,,,,,,,,,,,,,,,,,,,
2016-01-26,,,,,,,,,,,,,,,,,,,
2016-01-27,,,,,,,,,,,,,,,,,,,
2016-01-28,,,,,,,,,,,,,,,,,,,
2016-01-29,,,,,,,,,,,,,,,,,,,
2016-01-30,,,,,,,,,,,,,,,,,,,
2016-01-31,,,,,,,,,,,,,,,,,,,
2016-02-01,,,,,,,,,,,,,,,,,,,
2016-02-02,,,,,,,,,,,,,,,,,,,
2016-02-03,,,,,,,,,,,,,,,,,,,
2016-02-04,,,,,,,,,,,,,,,,,,,
2016-02-05,,,,,,,,,,,,,,,,,,,
2016-02-06,,,,,,,,,,,,,,,,,,,
2016-02-07,,,,,,,,,,,,,,,,,,,
2016-02-08,,,,,,,,,,,,,,,,,,,
2016-02-09,,,,,,,,,,,,,,,,,,,
2016-02-10,,,,,,,,,,,,,,,,,,,
2016-02-11,,,,,,,,,,,,,,,,,,,
2016-02-12,,,,,,,,,,,,,,,,,,,
2016-02-13,,,,,,,,,,,,,,,,,,,
2016-02-14,,,,,,,,,,,,,,,,,,,
2016-02-15,,,,,,,,,,,,,,,,,,,
2016-02-16,,,,,,,,,,,,,,,,,,,
2016-02-17,,,,,,,,,,,,,,,,,,,
2016-02-18,,,,,,,,,,,,,,,,,,,
2016-02-19,,,,,,,,,0.0,,,,,,,,,,
2016-02-20,,,,,,,,,,,,,,,,,,,
2016-02-21,,,,,,,,,,,,,,,,,,,
2016-02-22,,,,,,,,,,,,,,,,,,,
2016-02-23,,,,,,,,,,,,,,,,,,,
2016-02-24,,,,,,,,,,,,,,,,,,,
2016-02-25,,,,,,,,,,,,,,,,,,,
2016-02-26,,,,,,,,,,,,,,,,,,,
2016-02-27,,,,,,,,,,,,,,,,,,,
2016-02-28,,,,,,,,,,,,,,,,,,,
2016-02-29,,0.0,,,,,,,,,,,,,,,,,
2016-03-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2016-03-02,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2016-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2016-03-04,0.0,,0.5,0.0,0.0,0.0,6.5,4.0,55.0,,18.0,73.5,,8.0,1.5,,31.5,0.5,0.0
2016-03-05,0.0,,0.5,0.0,0.0,0.0,6.5,4.0,55.0,,18.0,73.5,,8.0,1.5,,31.5,3.0,1.0
2016-03-06,0.0,,0.0,0.0,0.0,11.5,30.0,10.0,3.5,,2.0,0.5,,3.5,17.5,,12.0,3.0,1.0
2016-03-07,0.0,,0.0,0.0,0.0,11.5,30.0,10.0,3.5,,0.0,1.0,,3.5,17.5,,12.0,1.0,2.0
2016-03-08,0.0,0.0,0.0,0.0,0.0,0.5,19.5,0.0,1.5,,0.0,2.0,,28.0,2.5,,8.0,0.0,2.0
2016-03-09,0.0,,1.0,0.0,0.0,39.5,25.0,29.5,18.0,,0.0,4.5,,28.0,2.5,,19.5,0.0,0.5
2016-03-10,0.5,0.0,1.0,0.0,1.0,39.5,25.0,0.0,18.0,,0.0,4.5,,15.5,4.5,,19.5,1.5,0.5
2016-03-11,0.5,,0.0,1.5,1.0,0.0,10.0,0.5,0.0,,9.5,5.0,,15.5,4.5,,1.0,1.5,0.5
2016-03-12,0.0,,0.0,1.5,0.0,0.0,7.0,1.0,30.5,,9.5,10.5,,4.0,2.5,,9.5,0.5,0.5
2016-03-13,0.0,,0.0,0.0,0.5,6.5,0.5,1.0,30.5,,5.5,10.5,,0.0,8.5,,9.5,6.5,0.5
2016-03-14,0.0,,0.0,3.5,11.5,6.5,16.5,2.5,29.0,,6.0,28.0,,33.0,60.0,,19.5,6.5,0.5
2016-03-15,0.0,,0.0,11.5,25.5,7.0,16.5,2.5,29.0,,7.0,28.0,,33.0,60.0,,19.5,10.0,0.5
2016-03-16,0.0,,2.5,11.5,25.5,7.0,6.0,18.0,23.5,,7.0,4.0,,8.0,16.5,,37.5,10.0,0.0
2016-03-17,0.0,,2.5,16.5,3.5,2.5,5.5,10.5,23.5,,5.5,2.5,,8.0,14.0,,37.5,9.0,0.0
2016-03-18,0.0,,7.5,16.5,7.0,27.5,2.5,7.5,2.0,,7.5,0.0,,4.0,6.0,,2.0,38.5,0.0
2016-03-19,0.0,,7.5,2.0,7.0,27.5,2.5,0.0,2.0,,1.0,0.0,,3.0,0.0,,1.5,38.5,0.0
2016-03-20,0.0,,58.0,46.0,5.0,0.0,1.0,3.0,0.0,,6.5,0.5,,2.0,27.0,,0.0,37.5,0.0
2016-03-21,0.0,,58.0,46.0,5.0,0.0,2.5,3.0,0.5,,6.5,0.5,,3.5,27.0,,0.5,37.5,0.0
2016-03-22,0.0,,1.0,6.0,9.5,8.0,4.0,10.0,14.5,,2.5,4.0,,11.0,13.0,,11.0,59.0,0.0
2016-03-23,0.0,0.0,1.0,6.0,9.5,8.0,7.5,11.5,14.5,,2.5,4.0,,11.0,13.0,,11.0,59.0,0.0
2016-03-24,0.0,0.0,0.5,0.5,0.0,1.0,8.0,39.5,22.5,,17.5,6.5,,13.5,3.0,,33.0,13.5,0.0
2016-03-25,19.0,5.5,0.5,0.5,7.0,11.0,32.5,39.5,87.5,,17.5,31.0,,50.0,3.0,,42.5,7.5,1.5
2016-03-26,19.0,5.5,0.0,0.0,7.0,11.0,32.5,8.0,87.5,,6.0,31.0,,50.0,0.0,,42.5,1.0,1.5
2016-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2016-03-28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2016-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.5
2016-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,0.5
2016-03-31,0.0,1.0,1.0,34.5,0.0,0.0,0.0,0.0,35.0,,3.0,0.0,,0.0,15.0,,25.5,0.0,0.5
2016-04-01,0.0,1.0,1.0,34.5,0.0,1.5,0.5,16.0,35.0,,3.0,0.0,,1.0,15.0,24.5,25.5,20.0,0.0
2016-04-02,0.0,4.5,0.5,0.5,7.5,23.5,47.0,18.5,29.0,,0.5,0.0,,9.0,11.5,27.0,8.5,20.0,0.5
2016-04-03,0.0,4.5,0.5,0.5,7.5,23.5,47.0,0.0,29.0,,0.5,0.0,,9.0,11.5,,8.5,6.5,1.0
2016-04-04,0.0,8.0,0.0,0.0,8.0,0.0,0.0,2.0,7.5,,1.5,0.0,,1.5,11.0,,7.0,1.0,1.0
2016-04-05,13.5,8.0,14.5,12.0,8.0,9.5,3.5,2.0,7.5,,1.5,0.0,,11.0,19.0,,7.0,10.0,1.5
2016-04-06,13.5,2.0,15.0,12.5,0.5,9.5,3.5,1.0,0.0,,0.0,0.0,,11.0,19.0,,0.5,0.0,1.5
2016-04-07,0.0,0.0,0.0,7.5,0.0,3.5,0.0,0.0,0.0,,4.5,0.0,,0.0,0.0,,0.0,0.0,0.0
2016-04-08,0.0,0.0,0.0,0.0,0.0,0.0,25.5,14.0,7.0,,0.0,0.0,,12.0,0.0,,13.5,0.0,0.5
2016-04-09,1.0,0.0,0.0,0.0,0.0,0.0,25.5,14.0,7.0,,0.5,0.0,,12.0,0.0,,13.5,0.0,0.5
2016-04-10,,,,,,,,,,,,,,,,,,,
2016-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,,0.0,0.0,,0.0,0.5,0.5
2016-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0
2016-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.5
2016-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.5
2016-04-15,3.0,1.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,,1.0,0.0,,0.0,0.0,,0.0,4.0,0.0
2016-04-16,3.0,16.0,39.5,9.5,10.0,28.0,13.5,21.0,16.0,,32.5,40.0,,11.5,0.0,11.5,12.0,39.5,2.0
2016-04-17,0.5,17.5,39.5,9.5,10.0,28.0,13.5,3.0,16.0,,32.5,40.0,,11.5,0.0,,12.0,39.5,3.5
2016-04-18,1.0,19.5,1.5,0.0,16.5,9.0,2.5,3.0,0.5,,0.0,4.0,,3.0,0.0,,1.0,2.0,3.5
2016-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0
2016-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0
2016-04-21,0.0,7.0,13.0,26.0,4.5,2.5,17.5,34.5,34.5,,45.0,5.0,,10.5,0.0,,36.0,68.0,0.5
2016-04-22,0.0,7.0,13.0,26.0,4.5,2.5,17.5,34.5,34.5,,45.0,5.0,,10.5,0.0,,36.0,68.0,2.0
2016-04-23,1.5,1.5,20.5,3.5,1.5,56.0,18.5,31.0,7.5,,18.0,7.5,,5.5,0.0,,3.0,16.5,3.0
2016-04-24,1.5,19.5,20.5,4.5,49.5,56.5,18.5,31.0,8.5,,23.5,12.0,,5.5,0.0,,3.0,16.5,3.0
2016-04-25,11.0,20.0,2.5,0.0,30.0,0.0,31.5,10.0,0.0,,3.0,6.5,,29.5,0.0,,1.0,15.5,1.0
2016-04-26,46.0,20.0,2.5,1.0,30.0,25.0,31.5,7.0,18.0,,3.0,44.5,,29.5,0.0,,21.0,15.5,1.5
2016-04-27,46.0,4.0,0.0,1.0,5.0,25.0,14.0,12.0,18.0,,1.5,44.5,,27.0,0.0,,21.0,17.0,1.5
2016-04-28,0.0,0.0,0.0,0.0,1.0,15.5,10.0,0.0,6.5,,0.5,43.0,,13.0,0.0,,2.0,17.0,0.5
2016-04-29,2.0,3.5,10.5,7.0,3.5,14.0,9.0,6.5,6.5,,3.0,43.0,,13.0,0.0,0.0,4.0,9.0,0.5
2016-04-30,2.0,3.5,10.5,7.5,3.5,14.0,29.5,27.5,27.0,,3.0,28.5,,30.5,0.0,,10.5,9.0,0.5
2016-05-01,4.0,0.0,3.0,2.5,0.0,8.5,29.5,0.0,27.0,,0.5,21.5,,30.5,0.0,,10.5,2.5,0.5
2016-05-02,6.5,21.5,3.5,8.0,7.5,0.5,1.0,0.0,11.5,,25.0,21.5,,0.5,0.0,0.0,4.0,1.0,0.0
2016-05-03,6.5,21.5,3.5,8.0,7.5,0.5,1.0,0.0,6.5,,25.0,9.0,,0.5,0.0,,4.0,1.0,0.0
2016-05-04,0.5,1.5,22.0,14.0,1.0,2.0,0.5,0.5,0.5,,3.0,4.0,,1.5,0.0,,0.0,8.5,0.0
2016-05-05,8.5,1.5,22.0,14.0,17.5,48.0,39.5,22.5,30.5,,10.5,8.0,,50.5,53.5,,49.0,13.5,0.0
2016-05-06,12.0,11.5,15.0,13.5,17.5,48.0,39.5,22.5,30.5,,10.5,33.5,,50.5,53.5,,49.0,13.5,0.0
2016-05-07,29.0,67.5,58.0,52.0,54.0,21.5,27.0,14.5,20.0,,59.0,33.5,,41.5,86.0,,29.5,32.5,0.0
2016-05-08,29.0,2.0,58.0,52.0,54.0,21.5,0.5,0.0,20.0,,59.0,27.0,,33.5,86.0,,29.5,32.5,0.0
2016-05-09,0.0,2.0,21.5,12.5,2.5,1.0,0.0,0.0,2.0,,4.5,12.5,,13.5,6.0,,0.0,18.5,0.0
2016-05-10,0.0,5.0,21.5,12.5,4.0,0.0,0.5,2.0,29.5,,1.0,30.0,,5.5,16.0,,26.0,0.0,0.0
2016-05-11,66.5,16.5,31.0,21.5,20.5,39.5,43.5,21.5,29.5,,11.0,30.0,,41.0,16.0,,26.0,24.5,0.0
2016-05-12,66.5,25.5,32.5,42.5,33.5,39.5,43.5,21.5,108.5,,41.0,51.0,,41.0,15.0,,61.0,24.5,0.0
2016-05-13,45.5,25.5,33.0,42.5,33.5,18.5,18.5,4.0,108.5,,41.0,53.0,,14.5,13.5,,61.0,30.0,0.0
2016-05-14,45.5,36.5,22.0,40.0,34.0,19.0,19.0,15.5,14.0,,15.5,13.0,,36.5,10.0,,9.5,30.0,0.0
